method,time,rms_w2,standard_error,mean_runtime_seconds
B=4,0.448,3.6069184235724263,0.010222860383549826,0.03480768000000959
B=4,0.524,3.489830318585695,0.00920905452929842,0.03480768000000959
B=4,0.6,3.3919709727339824,0.010764260295468795,0.03480768000000959
B=4,0.672,3.2998850167964995,0.01144380547182747,0.03480768000000959
B=4,0.748,3.226117524357512,0.010463978348161098,0.03480768000000959
B=4,0.8240000000000001,3.155658575524536,0.009887489109648375,0.03480768000000959
B=4,0.9,3.076622105733854,0.008368574263952487,0.03480768000000959
B=4,0.972,3.0150626314228917,0.008449255495825581,0.03480768000000959
B=4,1.048,2.950314455687282,0.007976004100536888,0.03480768000000959
B=4,1.124,2.8842398299193928,0.010585811308046238,0.03480768000000959
B=4,1.2,2.8264233804644054,0.012541085273446754,0.03480768000000959
B=4,1.272,2.772941701651635,0.013156379064168841,0.03480768000000959
B=4,1.348,2.71827119901706,0.016011600818475916,0.03480768000000959
B=4,1.424,2.663827228089822,0.0176594618087621,0.03480768000000959
B=4,1.5,2.6083587736270646,0.01885144913807375,0.03480768000000959
B=4,1.572,2.562766285170735,0.019136137919575243,0.03480768000000959
B=4,1.6480000000000001,2.51274818445114,0.01975828420056223,0.03480768000000959
B=4,1.724,2.4691165295193898,0.01992218103866122,0.03480768000000959
B=4,1.8,2.4160761559523207,0.019704734087112874,0.03480768000000959
B=4,1.872,2.3700675582866615,0.01629245030165086,0.03480768000000959
B=4,1.948,2.3232386557897278,0.018040072127890352,0.03480768000000959
B=4,2.024,2.2819001075940677,0.016903514053910863,0.03480768000000959
B=4,2.1,2.228237201013473,0.016674991041317436,0.03480768000000959
B=4,2.172,2.1851339142757493,0.018374236492206264,0.03480768000000959
B=4,2.248,2.1325257069439076,0.017164733276476097,0.03480768000000959
B=4,2.324,2.09608419070743,0.020462769828565534,0.03480768000000959
B=4,2.4,2.0533098610732408,0.023747596523123814,0.03480768000000959
B=4,2.472,2.020627660569027,0.02235960266547624,0.03480768000000959
B=4,2.548,1.9770448844834192,0.022923732455476704,0.03480768000000959
B=4,2.624,1.9321853722750866,0.025534450099188585,0.03480768000000959
B=4,2.7,1.8948625376244395,0.027732519580497272,0.03480768000000959
B=4,2.7720000000000002,1.8654044742560876,0.02800791376280193,0.03480768000000959
B=4,2.848,1.8397845445958125,0.02809867604089493,0.03480768000000959
B=4,2.924,1.819278858102298,0.026574564958187198,0.03480768000000959
B=4,3.0,1.7811077636642176,0.02732948120290092,0.03480768000000959
B=4,3.072,1.7482143206260239,0.030449023666650275,0.03480768000000959
B=4,3.148,1.709547922925675,0.030108446647501962,0.03480768000000959
B=4,3.224,1.6780640421448698,0.02981160054076714,0.03480768000000959
B=4,3.3000000000000003,1.6373381640528017,0.02891901759271752,0.03480768000000959
B=4,3.372,1.6090271302700467,0.029583549248169215,0.03480768000000959
B=4,3.448,1.585501432895352,0.02922921620236028,0.03480768000000959
B=4,3.524,1.5480315388214094,0.030726278269257275,0.03480768000000959
B=4,3.6,1.5136866484017302,0.030219943609728055,0.03480768000000959
B=4,3.672,1.48545028651486,0.02913551900051276,0.03480768000000959
B=4,3.748,1.4658239185185973,0.029371463186333265,0.03480768000000959
B=4,3.8240000000000003,1.4392915527051788,0.025915936641412216,0.03480768000000959
B=4,3.9,1.4115978968916028,0.026326617584086717,0.03480768000000959
B=4,3.972,1.3901183522927394,0.028968811480439536,0.03480768000000959
B=4,4.048,1.3671491938971216,0.03232671530355547,0.03480768000000959
B=4,4.124,1.3404085031936583,0.03171786861091309,0.03480768000000959
B=4,4.2,1.3102754780895032,0.03427290010991316,0.03480768000000959
B=4,4.272,1.2853440219494363,0.03473095885228991,0.03480768000000959
B=4,4.348,1.257381179510925,0.034262492603521814,0.03480768000000959
B=4,4.424,1.229071451985209,0.03280289650120807,0.03480768000000959
B=4,4.5,1.2074908272296978,0.03130782796806249,0.03480768000000959
B=4,4.572,1.1877782894165916,0.0320440329412462,0.03480768000000959
B=4,4.648,1.1551491062014116,0.03148300835111515,0.03480768000000959
B=4,4.724,1.1295971514456424,0.029405166272741232,0.03480768000000959
B=4,4.8,1.1164540396578182,0.028670574515298308,0.03480768000000959
B=4,4.872,1.1035228797277765,0.0308991054079481,0.03480768000000959
B=4,4.948,1.0685405369459287,0.027829537831131804,0.03480768000000959
B=4,5.024,1.0407762925870752,0.0252159321528817,0.03480768000000959
B=4,5.1000000000000005,1.020793377180138,0.026610694291073617,0.03480768000000959
B=4,5.172,1.0014949665656772,0.028495315242820948,0.03480768000000959
B=4,5.248,0.9791794561726622,0.027174827245360005,0.03480768000000959
B=4,5.324,0.9721297529900925,0.02562327222880709,0.03480768000000959
B=4,5.4,0.9508541229911184,0.02750065769228196,0.03480768000000959
B=4,5.472,0.9363111241479174,0.026969977793461105,0.03480768000000959
B=4,5.548,0.9076620963727103,0.028033045750942728,0.03480768000000959
B=4,5.6240000000000006,0.8830732000027415,0.030513837905016432,0.03480768000000959
B=4,5.7,0.865888374737673,0.03144618406267425,0.03480768000000959
B=4,5.772,0.8432913841951962,0.02887805591587953,0.03480768000000959
B=4,5.848,0.8337976875360521,0.030182405964030237,0.03480768000000959
B=4,5.924,0.8225719792994782,0.02859619114107321,0.03480768000000959
B=4,6.0,0.8121225575093985,0.02811869155856938,0.03480768000000959
B=16,0.0,4.735936467133886,0.003802613342992938,0.03491761491666997
B=16,0.07200000000000001,4.452553955449132,0.004550017296982564,0.03491761491666997
B=16,0.148,4.216383692636784,0.008459709819196673,0.03491761491666997
B=16,0.224,4.020613307165523,0.006270675647469409,0.03491761491666997
B=16,0.3,3.8640792767757244,0.007659371444897549,0.03491761491666997
B=16,0.372,3.732679376087834,0.009151925876293762,0.03491761491666997
B=16,0.448,3.6150801387324614,0.00974578396860478,0.03491761491666997
B=16,0.524,3.509862303071363,0.010019524937560018,0.03491761491666997
B=16,0.6,3.405311994538491,0.010910597733680269,0.03491761491666997
B=16,0.672,3.3259975606712775,0.012397606335000026,0.03491761491666997
